Running for COO Matrix Size 2048 x 2048
Running for Vector Size  2048
For each PPN we made 5 time measurements and each value presented on the following table are the median of them.

PPN, Total Time BCast,		Total Time MPI_Send,	Total Time MPI_Recv,	Computation Total Time, Slowest Process Time
2, 0.411033630371, 3.356933593750, 13.994932174683, 2.138853073120, 16.133785247803 
4, 0.406980514526, 3.293991088867, 15.982151031494, 0.656843185425, 7.244110107422
6, 0.164031982422, 3.373146057129, 21.878004074097, 0.398874282837, 6.642818450928
8, 0.164985656738, 3.155946731567, 25.609731674194, 0.255346298218, 5.836963653564
10, 0.164985656738, 3.410339355469, 30.483961105347, 0.196695327759, 5.857944488525
12, 0.180006027222, 3.646612167358, 36.750793457031, 0.163316726685, 6.001949310303
14, 0.190973281860, 3.739118576050, 33.683538436890, 0.140905380249, 4.812002182007
16, 0.247001647949, 3.890752792358, 39.136409759521, 0.128746032715, 4.912853240967
18, 0.262975692749, 3.877162933350, 46.239137649536, 0.295162200928, 4.956960678101
20, 0.209808349609, 4.729270935059, 63.127517700195, 0.189304351807, 5.713939666748
22, 0.231981277466, 4.195690155029, 60.373544692993, 0.166893005371, 5.143880844116
24, 0.248193740845, 4.208803176880, 64.196348190308, 0.152587890625, 5.225896835327
26, 0.236034393311, 30.946731567383, 572.946786880493, 0.151395797729, 31.864881515503
28, 0.334978103638, 4.585981369019, 81.808328628540, 0.163793563843, 5.666017532349
30, 0.282049179077, 69.660902023315, 833.823442459106, 0.147581100464, 70.654869079590
32, 0.278949737549, 50.733566284180, 856.584548950195, 0.129938125610, 51.702976226807
